scene,depth,dims,passes,iters,renders,conv_in_p50,conv_in_p95,upload_p50,upload_p95,gpu_p50,gpu_p95,readback_p50,readback_p95,conv_out_p50,conv_out_p95,total_p50,total_p95,wall_ms,fps,status
grad720_8,U8,1280x720,1,1-1,25,0.280,0.444,0.403,0.605,0.485,1.028,0.191,0.283,0.396,0.580,1.849,2.468,945,26.46,DONE
grad1080_8,U8,1920x1080,1,1-1,25,0.576,0.746,0.737,0.885,0.717,0.854,0.490,0.732,1.002,1.251,3.641,4.563,931,26.85,DONE
grad4k_8,U8,3840x2160,1,1-1,25,3.107,4.242,2.447,3.979,1.813,2.232,2.786,6.435,4.109,8.655,15.052,25.730,1693,14.77,DONE
thermal720_8,U8,1280x720,6,1-1,25,0.277,0.363,0.511,0.629,0.731,1.078,0.215,0.309,0.437,0.522,2.243,2.557,1012,24.70,DONE
thermal4k_8,U8,3840x2160,6,1-1,25,2.741,5.193,2.565,3.863,2.836,3.803,2.392,2.991,4.053,4.916,15.029,18.834,3225,7.75,DONE
temporal720_8,U8,1280x720,1,1-16,25,0.244,0.332,0.625,0.949,1.020,2.221,0.201,0.275,0.420,0.482,2.608,4.060,801,31.21,DONE
multi720_8,U8,1280x720,1,1-1,100,0.627,1.533,0.600,1.977,0.710,1.719,0.502,1.336,1.011,1.906,3.728,6.978,888,28.15,DONE
grad720_32,F32,1280x720,1,1-1,25,0.972,1.808,1.102,1.505,0.991,1.180,0.841,1.169,1.599,2.139,5.636,7.037,1093,22.87,DONE
grad1080_32,F32,1920x1080,1,1-1,25,2.531,5.330,2.178,2.850,1.809,2.392,2.740,4.161,3.744,4.846,13.095,17.896,1539,16.24,DONE
grad4k_32,F32,3840x2160,1,1-1,25,9.669,19.482,20.334,24.523,10.049,11.712,9.200,16.271,14.266,24.367,66.740,77.993,3997,6.25,DONE
